"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C16";"C050-030X075";1;"0.1uF";;;
2;"R10";"0207_9";1;"330R";;;
3;"C17";"C050-030X075";1;"10nF";;;
4;"R12,R24,R22,R13,R26,R15,R18,R20,R16,R14";"0207_9";10;"6.8k";;;
5;"@HOLE2,@HOLE1,@HOLE4,@HOLE5,@HOLE0,@HOLE6,@HOLE3";"";7;"";;;
6;"POT5,POT6,POT2,POT4,POT3,POT1";"POT-ALPHA9-PLASTIC";6;"POT-ALPHA9PLASTIC";;;
7;"C23,C22,C10,C11,C3,C6,C2,C7";"C025-024X044";8;"100nF";;;
8;"R5,R1,R8";"0207_9";3;"220k";;;
9;"R25,R19,R17,R23,R21";"0207_9";5;"33k";;;
10;"R6,R7";"0207_9";2;"10k";;;
11;"C14";"C050-030X075";1;"22nF";;;
12;"C18";"C050-030X075";1;"68nF";;;
13;"R11,R4,R9";"0207_9";3;"150k";;;
14;"Q3,Q4,Q5,Q1,Q2";"TO92-LINE";5;"BC547";;;
15;"C20";"C050-030X075";1;"0.47uF";;;
16;"R2,R3";"0207_9";2;"10R";;;
17;"POWER0";"CON10L";1;"POWER";;;
18;"C9,C5,C1,C4";"E2-5";4;"10uF";;;
19;"C21";"C050-030X075";1;"1uF";;;
20;"C8";"E2,5-6";1;"100uF";;;
21;"C12";"C050-030X075";1;"1nF";;;
22;"C13";"C050-030X075";1;"6.8nF";;;
23;"IC1";"DIL08";1;"TL072P";;;
24;"J2,J1";"ERTHENVAR";2;"ERTHENVAR_3.5MM_JACKHOLES";;;
25;"C15";"C050-030X075";1;"47nF";;;
26;"D2,D1";"DO41-7";2;"SB130";;;
27;"C19";"C050-030X075";1;"0.22uF";;;
28;"CON2-PCB1,CON1-PCB1,CON2-PCB2,CON1-PCB2";"MA10-1";4;"";;;
